,GPA_HIGHSCHOOL,Prior_Hours,ReFirstMathCrs,ReFirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
587,4.58,33,MAC2311/UP,A_range,12,3.658333333,Retained
588,4.97,29,NoAttempt,NoAttempt,15,3.2,Retained
589,3.77,3,MAC1147,Withdrawn,3,0,Dropped
590,3.31,1,MAC1105/C,Withdrawn,4,1,Dropped
591,4.32,29,MAC1140/14,C_range,15,2.78,Retained
592,3.2,9,MAC2311/UP,C_range,16,2.9,Retained
593,4.78,12,MAC1147,Failed,13,1.384615385,Retained
594,4.91,0,MAC1105/C,B_range,15,2.653333333,Retained
595,4.22,22,MAC1147,A_range,13,3.930769231,Retained
596,3.59,39,MAC1147,Withdrawn,9,1.333333333,Dropped
597,4.05,0,MAC1147,B_range,14,2.928571429,Retained
598,4.34,23,MAC1147,A_range,16,3.625,Retained
599,3.15,10,MAC1105/C,B_range,14,1.864285714,Retained
600,4.59,48,MAC2311/UP,B_range,12,3.408333333,Retained
601,4.15,3,MAC1147,A_range,13,3.930769231,Retained
602,4.46,7,MAC1140/14,A_range,15,3.88,Retained
603,3.21,0,MAC1105/C,C_range,16,2.2625,Retained
604,4.47,39,MAC2311/UP,A_range,16,3.86875,Retained
605,3.97,24,MAC2311/UP,Failed,13,2.707692308,Retained
606,4.8,19,MAC2311/UP,A_range,14,4,Retained
607,4.22,0,MAC1147,A_range,16,3.8125,Retained
608,3.89,29,MAC2311/UP,A_range,16,4,Retained
609,4.2,14,MAC1147,A_range,14,3.785714286,Retained
610,4,12,MAC1147,A_range,15,3.92,Retained
611,3.6,19,MAC2311/UP,B_range,13,2.907692308,Retained
612,3.56,0,NoAttempt,NoAttempt,12,3.1,Retained
613,3.67,12,MAC1147,Failed,15,1.673333333,Retained
614,3.2,0,MAC1105/C,A_range,13,3.138461538,Retained
615,3.45,9,MAC1147,Failed,8,1.2375,Retained
616,4.01,7,NoAttempt,NoAttempt,16,3.31875,Retained
617,3.56,12,MAC1140/14,B_range,12,3.175,Retained
618,4.6,28,MAC2311/UP,A_range,15,3.18,Retained
619,3.03,0,MAC1147,Withdrawn,14,2.007142857,Retained
620,3.5,10,MAC1147,B_range,10,3,Retained
621,3.52,20,NoAttempt,NoAttempt,12,2.1,Retained
622,3.86,42,MAC2311/UP,B_range,15,3.626666667,Retained
623,3.21,7,MAC1105/C,C_range,10,3.2,Retained
624,3.74,0,MAC1147,C_range,13,1.676923077,Retained
625,3.85,31,NoAttempt,NoAttempt,15,4,Retained
626,3.41,8,MAC1147,B_range,9,2.566666667,Retained
627,5.2,70,MAC2311/UP,A_range,15,4,Retained
628,3.8,24,MAC1147,Failed,15,1.28,Retained
629,3.92,45,MAC1147,B_range,12,2.741666667,Dropped
630,3.655,0,MAC1147,C_range,14,1.742857143,Dropped
631,4.47,30,MAC2311/UP,B_range,14,3.65,Retained
632,4.21,0,MAC1147,A_range,14,2.992857143,Retained
633,3.23,10,MAC1147,B_range,12,2.691666667,Retained
634,3.91,3,MAC1147,A_range,17,3.823529412,Retained
635,3.5,13,MAC1147,Withdrawn,13,2.630769231,Retained
636,3.4,0,MAC1147,C_range,11,2.1,Retained
637,3.58,12,MAC1147,Failed,16,1.0125,Dropped
638,4.12,84,NoAttempt,NoAttempt,12,3.341666667,Retained
639,4.9,55,NoAttempt,NoAttempt,14,3.85,Retained
640,2.9,8,MAC1147,Failed,14,1.285714286,Dropped
641,3.33,9,MAC1147,Failed,13,1.846153846,Retained
642,4.15,3,MAC1147,C_range,13,2.069230769,Retained
643,3.83,6,MAC1105/C,Withdrawn,0,0,Dropped
644,3.48,31,MAC1105/C,C_range,15,2.94,Retained
645,4.16,15,MAC1147,Failed,13,2.753846154,Retained
646,3.37,6,MAC2311/UP,Failed,13,0,Retained
647,3.71,6,MAC1140/14,Withdrawn,7,1.985714286,Retained
648,3.13,0,MAC1147,A_range,13,3.284615385,Retained
649,3.77,4,MAC2311/UP,A_range,14,3.285714286,Retained
650,3.17,13,MAC1147,Failed,14,1.357142857,Retained
651,3.09,12,MAC1105/C,Failed,15,1.193333333,Dropped
652,4.29,60,NoAttempt,NoAttempt,16,3.325,Retained
653,4.57,15,MAC2311/UP,A_range,14,3.935714286,Retained
654,3.56,21,MAC1147,A_range,12,3.083333333,Retained
655,3.09,6,MAC1147,Failed,13,0.461538462,Dropped
656,4.3,67,NoAttempt,NoAttempt,15,4,Dropped
657,3.1,0,MAC1105/C,B_range,14,3.214285714,Retained
658,3,3,MAC1147,B_range,11,2.9,Dropped
659,3.9,0,MAC1147,C_range,12,1.741666667,Retained
660,3,0,MAC1105/C,B_range,16,3.05625,Retained
661,4.62,62,MAC2311/UP,A_range,12,3.9,Retained
662,4.5,28,MAC2311/UP,A_range,14,3.85,Dropped
663,4.11,18,MAC1147,B_range,14,2.721428571,Retained
664,3.78,18,MAC1147,A_range,12,3.325,Retained
665,4.45,12,MAC1147,A_range,12,3.141666667,Retained
666,3.63,25,MAC2311/UP,B_range,14,3.735714286,Retained
667,3.66,18,MAC1147,A_range,12,3.675,Retained
668,4.24,12,MAC2311/UP,Failed,13,2.215384615,Retained
669,4.18,11,MAC1147,Failed,15,1.553333333,Dropped
670,4.23,37,MAC1147,A_range,15,3.526666667,Retained
671,3.27,9,MAC1147,Failed,13,0.769230769,Dropped
672,4.51,9,MAC1105/C,A_range,14,3.571428571,Retained
673,3.13,0,MAC1147,C_range,16,3.0125,Retained
674,4.54,35,MAC2311/UP,Failed,12,2.233333333,Retained
675,3.07,3,MAC1147,Withdrawn,6,1.35,Retained
676,2.47,6,MAC1147,Withdrawn,9,2.1,Dropped
677,4.07,48,MAC1147,C_range,12,2.866666667,Retained
678,2.75,4,MAC1105/C,Failed,14,0.285714286,Dropped
679,4.08,60,MAC2311/UP,C_range,14,3.278571429,Retained
680,3.71,0,MAC1105/C,C_range,12,1.908333333,Retained
681,3.46,30,MAC1147,A_range,15,3.86,Retained
682,3.77,10,MAC1105/C,Failed,14,1.528571429,Retained
683,4,3,MAC1147,A_range,14,3.571428571,Retained
684,3.36,27,MAC1147,Failed,12,1.416666667,Dropped
685,4.25,32,MAC1147,Withdrawn,10,2.59,Retained
686,4.18,62,NoAttempt,NoAttempt,12,3.066666667,Dropped
687,3.9,49,MAC2311/UP,A_range,15,3.66,Retained
688,3.5,18,MAC1147,B_range,12,3.208333333,Retained
689,4.18,60,MAC2311/UP,A_range,15,3.6,Retained
690,3.6,6,MAC1147,A_range,13,3.007692308,Retained
691,3.93,62,MAC1147,A_range,13,3.076923077,Retained
692,3.1,0,MAC1147,C_range,14,2.5,Retained
693,4.16,6,MAC1147,A_range,14,3.421428571,Retained
